Year,Feature_Name,Landcover_Class,Developable_Area_km2,Proportion,diff_prop,diff_dev
2025,Nooksack,Open Space,41.9427,0.0442840228589673,2.4706233382701392e-05,0.023400000000002308
2025,Nooksack,Low Intensity,48.5199,0.051228374918992,0.0003287829519387983,0.311399999999999
2025,Nooksack,Medium Intensity,25.6212,0.0270514250745463,0.00038769781615910145,0.3672000000000004
2025,Nooksack,High Intensity,17.8767,0.0188746120646239,0.0002812709646644006,0.26640000000000086
2025,Nooksack,Forest,307.2411,0.3243918940748751,-0.0008001018657006753,-0.7577999999999747
2025,Nooksack,Agriculture,505.9278,0.5341696710079954,-0.0002223561004440766,-0.21059999999999945
2025,Upper Skagit,Open Space,3.8232,0.0465371047961262,-0.000854494862075797,-0.07020000000000026
2025,Upper Skagit,Low Intensity,2.5911,0.0315396244604631,-0.0001314607480117011,-0.010800000000000143
2025,Upper Skagit,Medium Intensity,0.7272,0.0088516903661181,1.0955062334299173e-05,0.0009000000000000119
2025,Upper Skagit,High Intensity,0.0711,0.00086544992441,0.0,0.0
2025,Upper Skagit,Forest,55.3158,0.6733200411910343,0.0010626410464275038,0.08730000000000615
2025,Upper Skagit,Agriculture,19.6254,0.2388860892618478,-8.764049867451829e-05,-0.007200000000000983
2025,San Juan,Open Space,8.3124,0.0252784156378037,-0.0002627466328745977,-0.08639999999999937
2025,San Juan,Low Intensity,12.2193,0.0371594899430989,-0.0003448549556477956,-0.11340000000000039
2025,San Juan,Medium Intensity,2.205,0.0067055130264854,1.9158608647100624e-05,0.006299999999999972
2025,San Juan,High Intensity,0.3303,0.0010044584819265,0.0,0.0
2025,San Juan,Forest,237.2967,0.721630890245805,0.0008566635009346069,0.2817000000000007
2025,San Juan,Agriculture,68.47019999999999,0.2082212326648803,-0.00026822052105940353,-0.0882000000000005
2025,Lower Skagit - Samish,Open Space,26.5194,0.0403981962985457,0.00016863429528000268,0.11070000000000135
2025,Lower Skagit - Samish,Low Intensity,31.6836,0.0482650547238853,-2.0565157960998615e-05,-0.013500000000000512
2025,Lower Skagit - Samish,Medium Intensity,18.6867,0.0284662916495861,0.00021113562173270123,0.13859999999999673
2025,Lower Skagit - Samish,High Intensity,13.3146,0.0202827297916475,0.00012476195829659933,0.08190000000000097
2025,Lower Skagit - Samish,Forest,208.1466,0.3170790894844863,-0.0008363164237463749,-0.5490000000000066
2025,Lower Skagit - Samish,Agriculture,358.0992,0.5455086380518489,0.00035234970639819174,0.23129999999997608
2025,Lyre - Hoko,Open Space,1.2078,0.002570782728631,-0.00018581663537799989,-0.08729999999999993
2025,Lyre - Hoko,Low Intensity,1.1808,0.002513313666143,-4.405961457420006e-05,-0.02069999999999994
2025,Lyre - Hoko,Medium Intensity,0.6642,0.0014137389372054,2.1071989578900054e-05,0.00990000000000002
2025,Lyre - Hoko,High Intensity,0.0216,4.597524999042183e-05,0.0,0.0
2025,Lyre - Hoko,Forest,460.7127,0.9806195164936208,0.00024711696869839095,0.11609999999996035
2025,Lyre - Hoko,Agriculture,6.0309,0.012836672924409,-3.831270832529987e-05,-0.017999999999999794
2025,Stillaguamish,Open Space,25.4799,0.0418109050094517,-0.0004238539697542995,-0.2582999999999984
2025,Stillaguamish,Low Intensity,17.647199999999998,0.0289579395085066,0.00013143903591689848,0.08009999999999806
